tick;ClassName;InstanceName;Description;Market;BidType;PriceOffered;PriceCleared;QuantityOffered;QuantityAssigned;Capacity;MustRunViolation
41;TotalLoad;renewables;real-data-based;SPOT_MARKET;ENERGY_SUPPLY;-3000;21,3;2586,25;2586,25;2586,25;
42;TotalLoad;totalload;real-data-based;SPOT_MARKET;ENERGY_DEMAND;3000;20,75;9892;9892;9892;
42;TotalLoad;renewables;real-data-based;SPOT_MARKET;ENERGY_SUPPLY;-3000;20,75;2663,75;2663,75;2663,75;
43;TotalLoad;totalload;real-data-based;SPOT_MARKET;ENERGY_DEMAND;3000;20,75;9892;9892;9892;
43;TotalLoad;renewables;real-data-based;SPOT_MARKET;ENERGY_SUPPLY;-3000;20,75;2716;2716;2716;
44;TotalLoad;totalload;real-data-based;SPOT_MARKET;ENERGY_DEMAND;3000;21,63;10192;10192;10192;
44;TotalLoad;renewables;real-data-based;SPOT_MARKET;ENERGY_SUPPLY;-3000;21,63;2797,75;2797,75;2797,75;
45;TotalLoad;totalload;real-data-based;SPOT_MARKET;ENERGY_DEMAND;3000;20,8;10192;10192;10192;
45;TotalLoad;renewables;real-data-based;SPOT_MARKET;ENERGY_SUPPLY;-3000;20,8;2917;2917;2917;
46;TotalLoad;totalload;real-data-based;SPOT_MARKET;ENERGY_DEMAND;3000;20,75;10192;10192;10192;
46;TotalLoad;renewables;real-data-based;SPOT_MARKET;ENERGY_SUPPLY;-3000;20,75;3039,25;3039,25;3039,25;
47;TotalLoad;totalload;real-data-based;SPOT_MARKET;ENERGY_DEMAND;3000;20,75;10192;10192;10192;
47;TotalLoad;renewables;real-data-based;SPOT_MARKET;ENERGY_SUPPLY;-3000;20,75;3123,75;3123,75;3123,75;
48;TotalLoad;totalload;real-data-based;SPOT_MARKET;ENERGY_DEMAND;3000;21,3;10364;10364;10364;
48;TotalLoad;renewables;real-data-based;SPOT_MARKET;ENERGY_SUPPLY;-3000;21,3;3099,25;3099,25;3099,25;
49;TotalLoad;totalload;real-data-based;SPOT_MARKET;ENERGY_DEMAND;3000;20,8;10364;10364;10364;
49;TotalLoad;renewables;real-data-based;SPOT_MARKET;ENERGY_SUPPLY;-3000;20,8;3104,75;3104,75;3104,75;
50;TotalLoad;totalload;real-data-based;SPOT_MARKET;ENERGY_DEMAND;3000;20,8;10364;10364;10364;
50;TotalLoad;renewables;real-data-based;SPOT_MARKET;ENERGY_SUPPLY;-3000;20,8;3104,25;3104,25;3104,25;
51;TotalLoad;totalload;real-data-based;SPOT_MARKET;ENERGY_DEMAND;3000;20,75;10364;10364;10364;
51;TotalLoad;renewables;real-data-based;SPOT_MARKET;ENERGY_SUPPLY;-3000;20,75;3182,5;3182,5;3182,5;
52;TotalLoad;totalload;real-data-based;SPOT_MARKET;ENERGY_DEMAND;3000;20,75;10354;10354;10354;
52;TotalLoad;renewables;real-data-based;SPOT_MARKET;ENERGY_SUPPLY;-3000;20,75;3126,5;3126,5;3126,5;
53;TotalLoad;totalload;real-data-based;SPOT_MARKET;ENERGY_DEMAND;3000;21,3;10354;10354;10354;
53;TotalLoad;renewables;real-data-based;SPOT_MARKET;ENERGY_SUPPLY;-3000;21,3;3046,5;3046,5;3046,5;
54;TotalLoad;totalload;real-data-based;SPOT_MARKET;ENERGY_DEMAND;3000;21,3;10354;10354;10354;
54;TotalLoad;renewables;real-data-based;SPOT_MARKET;ENERGY_SUPPLY;-3000;21,3;3008,5;3008,5;3008,5;
55;TotalLoad;totalload;real-data-based;SPOT_MARKET;ENERGY_DEMAND;3000;21,58;10354;10354;10354;
