tick;ClassName;InstanceName;Description;Market;BidType;PriceOffered;PriceCleared;QuantityOffered;QuantityAssigned;Capacity;MustRunViolation
179;LearningStorage;No2;agdgasdfa;SPOT_MARKET;ENERGY_SUPPLY;-3000;40,02;10;10;40;
180;LearningStorage;No2;agdgasdfa;SPOT_MARKET;ENERGY_DEMAND;3000;37,31;10;10;40;
182;LearningStorage;No2;agdgasdfa;SPOT_MARKET;ENERGY_SUPPLY;-3000;39,35;10;10;40;
183;LearningStorage;No2;agdgasdfa;SPOT_MARKET;ENERGY_SUPPLY;-3000;40,02;10;10;40;
188;LearningStorage;No2;agdgasdfa;SPOT_MARKET;ENERGY_DEMAND;3000;35,25;10;10;40;
191;LearningStorage;No2;agdgasdfa;SPOT_MARKET;ENERGY_SUPPLY;-3000;35,32;10;10;40;
192;LearningStorage;No2;agdgasdfa;SPOT_MARKET;ENERGY_DEMAND;3000;24,43;10;10;40;
194;LearningStorage;No2;agdgasdfa;SPOT_MARKET;ENERGY_SUPPLY;-3000;26,18;10;10;40;
196;LearningStorage;No2;agdgasdfa;SPOT_MARKET;ENERGY_DEMAND;3000;23,13;10;10;40;
200;LearningStorage;No2;agdgasdfa;SPOT_MARKET;ENERGY_DEMAND;3000;23,47;10;10;40;
203;LearningStorage;No2;agdgasdfa;SPOT_MARKET;ENERGY_DEMAND;3000;23,13;10;10;40;
204;LearningStorage;No2;agdgasdfa;SPOT_MARKET;ENERGY_DEMAND;3000;23,13;10;10;40;
205;LearningStorage;No2;agdgasdfa;SPOT_MARKET;ENERGY_DEMAND;3000;23,02;10;10;40;
206;LearningStorage;No2;agdgasdfa;SPOT_MARKET;ENERGY_DEMAND;3000;22,02;10;10;40;
207;LearningStorage;No2;agdgasdfa;SPOT_MARKET;ENERGY_DEMAND;3000;22,02;10;10;40;
208;LearningStorage;No2;agdgasdfa;SPOT_MARKET;ENERGY_DEMAND;3000;23,52;10;10;40;
209;LearningStorage;No2;agdgasdfa;SPOT_MARKET;ENERGY_DEMAND;3000;23,02;10;10;40;
210;LearningStorage;No2;agdgasdfa;SPOT_MARKET;ENERGY_DEMAND;3000;22,02;10;10;40;
211;LearningStorage;No2;agdgasdfa;SPOT_MARKET;ENERGY_DEMAND;3000;22,02;10;10;40;
213;LearningStorage;No2;agdgasdfa;SPOT_MARKET;ENERGY_DEMAND;3000;23,47;10;10;40;
214;LearningStorage;No2;agdgasdfa;SPOT_MARKET;ENERGY_DEMAND;3000;23,13;10;10;40;
215;LearningStorage;No2;agdgasdfa;SPOT_MARKET;ENERGY_DEMAND;3000;23,13;10;10;40;
216;LearningStorage;No2;agdgasdfa;SPOT_MARKET;ENERGY_SUPPLY;-3000;35,25;10;10;40;
218;LearningStorage;No2;agdgasdfa;SPOT_MARKET;ENERGY_DEMAND;3000;24,43;10;10;40;
220;LearningStorage;No2;agdgasdfa;SPOT_MARKET;ENERGY_SUPPLY;-3000;38,71;10;10;40;
221;LearningStorage;No2;agdgasdfa;SPOT_MARKET;ENERGY_SUPPLY;-3000;35,32;10;10;40;
224;LearningStorage;No2;agdgasdfa;SPOT_MARKET;ENERGY_SUPPLY;-3000;40,02;10;10;40;
225;LearningStorage;No2;agdgasdfa;SPOT_MARKET;ENERGY_SUPPLY;-3000;35,4;10;10;40;
226;LearningStorage;No2;agdgasdfa;SPOT_MARKET;ENERGY_SUPPLY;-3000;35,4;10;10;40;
227;LearningStorage;No2;agdgasdfa;SPOT_MARKET;ENERGY_SUPPLY;-3000;35,4;10;10;40;
228;LearningStorage;No2;agdgasdfa;SPOT_MARKET;ENERGY_SUPPLY;-3000;39,26;10;10;40;
229;LearningStorage;No2;agdgasdfa;SPOT_MARKET;ENERGY_SUPPLY;-3000;35,4;10;10;40;
230;LearningStorage;No2;agdgasdfa;SPOT_MARKET;ENERGY_SUPPLY;-3000;35,4;10;10;40;
234;LearningStorage;No2;agdgasdfa;SPOT_MARKET;ENERGY_DEMAND;3000;34,44;10;10;40;
235;LearningStorage;No2;agdgasdfa;SPOT_MARKET;ENERGY_DEMAND;3000;34,44;10;10;40;
238;LearningStorage;No2;agdgasdfa;SPOT_MARKET;ENERGY_DEMAND;3000;34,88;10;10;40;
239;LearningStorage;No2;agdgasdfa;SPOT_MARKET;ENERGY_DEMAND;3000;34,44;10;10;40;
247;LearningStorage;No2;agdgasdfa;SPOT_MARKET;ENERGY_DEMAND;3000;35,32;10;10;40;
248;LearningStorage;No2;agdgasdfa;SPOT_MARKET;ENERGY_DEMAND;3000;35,25;10;10;40;
249;LearningStorage;No2;agdgasdfa;SPOT_MARKET;ENERGY_DEMAND;3000;35,32;10;10;40;
252;LearningStorage;No2;agdgasdfa;SPOT_MARKET;ENERGY_DEMAND;3000;35,32;10;10;40;
259;LearningStorage;No2;agdgasdfa;SPOT_MARKET;ENERGY_SUPPLY;-3000;39,35;10;10;40;
260;LearningStorage;No2;agdgasdfa;SPOT_MARKET;ENERGY_SUPPLY;-3000;44,59;10;10;40;
261;LearningStorage;No2;agdgasdfa;SPOT_MARKET;ENERGY_SUPPLY;-3000;40,82;10;10;40;
262;LearningStorage;No2;agdgasdfa;SPOT_MARKET;ENERGY_SUPPLY;-3000;40,22;10;10;40;
263;LearningStorage;No2;agdgasdfa;SPOT_MARKET;ENERGY_SUPPLY;-3000;40,22;10;10;40;
264;LearningStorage;No2;agdgasdfa;SPOT_MARKET;ENERGY_SUPPLY;-3000;40,02;10;10;40;
265;LearningStorage;No2;agdgasdfa;SPOT_MARKET;ENERGY_SUPPLY;-3000;40,02;10;10;40;
266;LearningStorage;No2;agdgasdfa;SPOT_MARKET;ENERGY_SUPPLY;-3000;40,02;10;10;40;
267;LearningStorage;No2;agdgasdfa;SPOT_MARKET;ENERGY_SUPPLY;-3000;40,02;10;10;40;
269;LearningStorage;No2;agdgasdfa;SPOT_MARKET;ENERGY_SUPPLY;-3000;37,99;10;10;40;
270;LearningStorage;No2;agdgasdfa;SPOT_MARKET;ENERGY_SUPPLY;-3000;39,35;10;10;40;
271;LearningStorage;No2;agdgasdfa;SPOT_MARKET;ENERGY_SUPPLY;-3000;39,35;10;10;40;
272;LearningStorage;No2;agdgasdfa;SPOT_MARKET;ENERGY_DEMAND;3000;34,88;10;10;40;
273;LearningStorage;No2;agdgasdfa;SPOT_MARKET;ENERGY_SUPPLY;-3000;35,25;10;10;40;
275;LearningStorage;No2;agdgasdfa;SPOT_MARKET;ENERGY_SUPPLY;-3000;34,44;10;10;40;
276;LearningStorage;No2;agdgasdfa;SPOT_MARKET;ENERGY_DEMAND;3000;24,43;10;10;40;
278;LearningStorage;No2;agdgasdfa;SPOT_MARKET;ENERGY_SUPPLY;-3000;26,25;10;10;40;
284;LearningStorage;No2;agdgasdfa;SPOT_MARKET;ENERGY_DEMAND;3000;21,3;10;10;40;
