tick;supply
682;2739.00
683;2754.00
684;2725.75
685;2663.00
686;2579.50
687;2587.25
688;2641.00
689;2689.75
690;2807.00
691;2849.00
692;2890.50
693;2912.50
694;3051.75
695;3076.25
696;3085.00
697;3088.00
698;3038.00
699;3102.00
700;3191.75
701;3152.25
702;3203.50
703;3375.50
704;3579.75
705;3658.50
706;3709.50
707;3847.00
708;4041.25
709;4189.00
710;4423.75
711;4686.25
712;4915.75
713;5098.25
714;5285.50
715;5536.00
716;5858.25
717;6132.00
718;6244.00
719;6310.75
720;6276.50
721;6391.25
722;6454.50
723;6342.25
724;6292.75
725;6132.25
726;5867.25
727;5643.00
728;5398.25
729;5110.00
730;4709.00
731;4486.75
732;4134.25
733;3825.50
734;3496.00
735;3133.50
736;2899.50
737;2712.00
738;2624.50
739;2572.75
740;2503.00
741;2461.00
742;2447.75
743;2428.25
744;2428.50
745;2412.75
746;2407.50
747;2415.75
748;2291.75
749;2281.50
750;2228.25
751;2235.25
752;2243.00
753;2286.75
754;2317.75
755;2303.25
756;2283.25
757;2231.00
758;2181.50
759;2126.25
760;2035.00
761;1949.25
762;1941.00
763;1878.75
764;1812.00
765;1782.50
766;1785.00
767;1782.25
768;1784.00
769;1797.25
770;1760.25
771;1706.75
772;1660.25
773;1653.25
774;1674.00
775;1684.00
776;1672.25
777;1683.00
778;1671.75
779;1641.00
780;1652.50
781;1700.00
782;1801.75
783;1900.00
784;1922.50
785;1961.00
786;2148.75
787;2226.75
788;2254.75
789;2336.25
790;2395.75
791;2527.25
792;2737.25
793;2835.75
794;2988.25
795;3137.25
796;3234.00
797;3330.00
798;3367.25
799;3438.25
800;3610.00
801;3719.75
802;3841.75
803;3958.50
804;4141.75
805;4370.50
806;4579.25
807;4686.50
808;4973.75
809;5271.75
810;5511.75
811;5831.75
812;6080.00
813;6162.25
814;6255.00
815;6376.50
816;6448.50
817;6539.00
818;6581.50
819;6498.25
820;6604.00
821;6608.75
822;6580.25
823;6519.75
824;6459.25
825;6308.00
826;6237.00
827;6166.25
828;6103.75
829;6115.50
830;6079.50
831;5893.25
832;5712.00
833;5782.50
834;5809.00
835;5873.50
836;6023.75
837;6127.25
838;6233.75
839;6208.25
840;6196.25
841;6199.00
842;6256.75
843;6151.50
844;6107.75
845;6179.75
846;6093.00
847;6036.50
848;5977.25
849;5841.75
850;5763.50
851;5820.25
852;5851.50
853;5807.50
854;5875.75
855;5884.50
856;5825.00
857;5656.25
858;5672.25
859;5684.00
860;5613.50
861;5511.25
862;5420.50
863;5393.00
864;5441.25
865;5405.75
866;5333.25
867;5219.50
868;5235.00
869;5204.50
870;5129.25
871;5065.50
872;5022.00
873;5074.75
874;5118.00
875;4994.75
876;4965.75
877;4930.50
878;4844.25
879;4861.25
880;4882.50
881;4911.25
882;4750.50
883;4752.25
884;4724.00
885;4762.25
886;4733.75
887;4683.75
888;4729.75
889;4765.50
890;4799.25
891;4777.25
892;4697.00
893;4607.00
894;4624.75
895;4682.25
896;4741.50
897;4628.25
898;4759.00
899;4880.00
900;4974.75
901;5153.00
902;5337.00
903;5449.75
904;5495.00
905;5677.75
906;5840.25
907;5968.00
908;6174.00
909;6304.75
910;6314.25
911;6361.50
912;6370.25
913;6323.75
914;6344.50
915;6200.00
916;6077.25
917;5976.50
918;5893.00
919;5742.75
920;5534.50
921;5348.00
922;5121.75
923;4963.75
924;4649.25
925;4345.00
926;4030.50
927;3753.25
928;3542.50
929;3380.50
930;3286.50
931;3162.00
932;3110.00
933;2993.50
934;2969.50
935;2883.75
936;2781.75
937;2753.00
938;2792.00
939;2759.75
940;2799.00
941;2832.00
942;2805.50
943;2767.25
944;2684.00
945;2689.25
946;2646.25
947;2545.00
948;2504.75
949;2473.75
950;2513.25
951;2489.50
952;2522.75
953;2483.00
954;2405.50
955;2381.00
956;2379.00
957;2393.50
958;2360.50
959;2330.25
960;2322.25
961;2379.50
962;2368.00
963;2289.00
964;2211.75
965;2199.25
966;2136.00
967;2126.50
968;2111.75
969;2069.50
970;2079.75
971;2106.50
972;2084.50
973;2084.75
974;2132.00
975;2092.25
976;2046.75
977;1960.25
978;1974.75
979;1932.00
980;1932.50
981;1946.00
982;1934.25
983;1926.50
984;2007.75
985;2036.50
986;2041.50
987;2129.75
988;2140.75
989;2132.25
990;2174.75
991;2326.75
992;2390.50
993;2399.00
994;2523.00
995;2611.00
996;2787.00
997;2891.75
998;3009.00
999;3132.75
1000;3219.75
1001;3306.75
1002;3455.00
1003;3634.75
1004;3700.75
1005;3848.25
1006;3978.50
1007;3956.50
1008;3952.75
1009;4034.00
1010;4061.50
1011;4138.25
1012;4179.25
1013;4138.00
1014;4129.75
1015;3996.75
1016;3890.25
1017;3754.50
1018;3713.50
1019;3807.00
1020;3702.00
1021;3560.50
1022;3518.75
1023;3647.00
1024;3554.50
1025;3429.50
1026;3485.50
1027;3603.75
1028;3772.75
1029;3901.00
1030;3945.50
1031;3989.50
1032;4117.25
1033;4384.25
1034;4417.50
1035;4426.25
1036;4674.50
1037;4829.50
1038;4911.50
1039;4949.50
1040;4969.50
1041;4839.25
1042;4899.50
1043;4936.50
1044;4842.75
1045;4832.00
1046;4815.75
1047;4875.50
1048;4820.75
1049;4795.75
1050;4699.75
1051;4666.75
1052;4677.00
1053;4713.25
